iter	RMSE
0	5.594631867
1	5.438138626
2	5.282314359
3	5.137367587
4	4.995851106
5	4.858993701
6	4.725797084
7	4.593990578
8	4.469185328
9	4.348242863
10	4.227368095
11	4.107480677
12	3.990757516
13	3.881171718
14	3.772816265
15	3.669770547
16	3.567636738
17	3.469192857
18	3.373727117
19	3.281043643
20	3.188859857
21	3.1006318
22	3.01491628
23	2.931881876
24	2.849798971
25	2.769901068
26	2.693220176
27	2.619226955
28	2.5493957
29	2.479593764
30	2.414742834
31	2.348189274
32	2.283987549
33	2.223289449
34	2.161025564
35	2.10075331
36	2.041639994
37	1.985818743
38	1.931184063
39	1.877795843
40	1.825668759
41	1.774926215
42	1.727571048
43	1.682749572
44	1.63647112
45	1.59026766
46	1.545712262
47	1.505834624
48	1.464404149
49	1.424504667
50	1.384819764
51	1.346354195
52	1.310059065
53	1.274740878
54	1.239243361
55	1.205648135
56	1.173794436
57	1.141749642
58	1.110357337
59	1.080286435
60	1.049849565
61	1.020872308
62	0.9926700306
63	0.9664281397
64	0.9398407224
65	0.9141917495
66	0.8897453973
67	0.8653986942
68	0.8424188749
69	0.8193847296
70	0.7968493623
71	0.7749635265
72	0.7539920027
73	0.7333000412
74	0.7132690658
75	0.6941216514
76	0.6759336937
77	0.6575057595
78	0.6400609036
79	0.6230552074
80	0.6069941757
81	0.5913552397
82	0.576230921
83	0.561024369
84	0.5469534286
85	0.5338547053
86	0.5206135042
87	0.5075875983
88	0.4943924528
89	0.4815368393
90	0.4689215913
91	0.4571714609
92	0.4452564687
93	0.434357491
94	0.4236029588
95	0.412690302
96	0.4023046137
97	0.3921944833
98	0.3829066097
99	0.3739587295
100	0.3648186215
101	0.3559859918
102	0.347389986
103	0.3390064124
104	0.3312125835
105	0.3234219479
106	0.316305683
107	0.3089274404
108	0.3020291536
109	0.2950036238
110	0.2885275082
111	0.2824656468
112	0.2763017466
113	0.2700645276
114	0.264274455
115	0.258543167
116	0.2529149507
117	0.2473987361
118	0.2422402597
119	0.2370856992
120	0.232123177
121	0.2274545353
122	0.2228303621
123	0.2187288059
124	0.2145809324
125	0.210393373
126	0.2064083632
127	0.2025752658
128	0.1989843517
129	0.1953255756
130	0.1917815683
131	0.1885170739
132	0.1853197785
133	0.1821883702
134	0.1790994791
135	0.1761161796
136	0.1733148074
137	0.1707590662
138	0.1681832098
139	0.1654708382
140	0.1630764116
141	0.1607325959
142	0.1584978798
143	0.1562642506
144	0.1540049491
145	0.1519942918
146	0.149942699
147	0.1480718193
148	0.1462377862
149	0.144392998
150	0.1425814211
151	0.1410002117
152	0.1393365196
153	0.1378064667
154	0.1361963212
155	0.1346614192
156	0.1333294904
157	0.131930166
158	0.1306391223
159	0.1293741422
160	0.1280690917
161	0.1266725133
162	0.1254542907
163	0.1242925532
164	0.1231741743
165	0.122121735
166	0.1210699223
167	0.1198771884
168	0.118897202
169	0.1178854251
170	0.1170325036
171	0.1159249833
172	0.1151261429
173	0.1142438367
174	0.1132608414
175	0.1125697726
176	0.1116396203
177	0.110866336
178	0.1100797137
179	0.1093074312
180	0.1087174266
181	0.1080270049
182	0.107435234
183	0.106770706
184	0.1060787625
185	0.1055146579
186	0.1048945346
187	0.1043289041
188	0.1039189034
189	0.1034196176
190	0.102926125
191	0.1024756285
192	0.1019696102
193	0.1015035599
194	0.100850446
195	0.1003530805
196	0.09987587458
197	0.09920892042
198	0.09868947223
199	0.09818974475
200	0.09780039796
201	0.0973469218
202	0.09699609642
203	0.09636951358
204	0.09571253011
205	0.09538464845
206	0.09505984102
207	0.09453609045
208	0.09416030574
209	0.09389342423
210	0.09346982266
211	0.09311601564
212	0.09278054259
213	0.0924745375
214	0.09217958885
215	0.09193919234
216	0.09159733918
217	0.0912993796
218	0.09099210593
219	0.09070311848
220	0.09036803127
221	0.09014577714
222	0.08983287267
223	0.08939231648
224	0.08918370233
225	0.08868310176
226	0.08840704832
227	0.08814423346
228	0.08790760875
229	0.08759591555
230	0.08735699068
231	0.08705375864
232	0.086608509
233	0.08623382465
234	0.08601978621
235	0.08565148144
236	0.08535166378
237	0.08513384749
238	0.08491233026
239	0.08473126681
240	0.08439046068
241	0.08416574229
242	0.08397743269
243	0.08378669432
244	0.08361725383
245	0.0833812497
246	0.0832202338
247	0.08304609159
248	0.08286423709
249	0.08272713888
250	0.08250893262
251	0.08234136
252	0.08214964114
253	0.08192716858
254	0.0817907869
255	0.08161796321
256	0.08143617636
257	0.08125802016
258	0.08109589406
259	0.08096977031
260	0.08071681394
261	0.08056402398
262	0.08041247954
263	0.08020802883
264	0.08010359796
265	0.0799442527
266	0.07977781378
267	0.07959747675
268	0.07948678949
269	0.07932372217
270	0.07919047954
271	0.0790013599
272	0.07881182214
273	0.07869240306
274	0.07856744101
275	0.07838466429
276	0.07822055624
277	0.07801617151
278	0.07779626049
279	0.07767382538
280	0.07752178726
281	0.07722110527
282	0.07710931963
283	0.07695332378
284	0.0768143106
285	0.07663841637
286	0.07646169428
287	0.07633907084
288	0.07619575278
289	0.07605689827
290	0.07594257413
291	0.07564742399
292	0.07546405193
293	0.07533420314
294	0.07522276165
295	0.07507884262
296	0.07496961401
297	0.07478746306
298	0.07462074743
299	0.0744492574
